0,Secounds,Amps,Volt
0,2410,15.42,11.7
0,2411,15.42,11.7
0,2412,15.42,11.7
0,2413,15.42,11.7
0,2414,15.42,11.7
0,2415,15.42,11.7
0,2416,15.42,11.7
0,2417,15.42,11.7
0,2418,15.42,11.7
0,2419,15.42,11.7
0,2420,15.42,11.7
0,2421,15.42,11.7
0,2422,15.42,11.7
0,2423,15.42,11.7
0,2424,15.42,11.7
0,2425,15.42,11.7
0,2426,15.42,11.7
0,2427,15.42,11.7
0,2428,15.42,11.7
0,2429,15.42,11.7
0,2430,15.42,11.7
0,2431,15.42,11.7
0,2432,15.42,11.7
0,2433,15.42,11.7
0,2434,15.42,11.7
0,2435,15.42,11.7
0,2436,15.42,11.7
0,2437,15.42,11.7
0,2438,15.42,11.7
0,2439,15.42,11.7
0,2440,15.42,11.7
0,2441,15.42,11.7
0,2442,15.42,11.7
0,2443,15.42,11.7
0,2444,15.42,11.7
0,2445,15.42,11.7
0,2446,15.42,11.7
0,2447,15.42,11.7
0,2448,15.42,11.7
0,2449,15.41,11.7
0,2449,15.42,11.7
0,2450,15.42,11.7
0,2451,15.41,11.7
0,2452,15.42,11.7
0,2453,15.41,11.7
0,2454,15.41,11.7
0,2455,15.41,11.7
0,2456,15.41,11.7
0,2457,15.41,11.7
0,2458,15.41,11.7
0,2459,15.41,11.7
0,2460,15.41,11.7
0,2461,15.41,11.7
0,2462,15.41,11.7
0,2463,15.41,11.7
0,2464,15.41,11.7
0,2465,15.41,11.7
0,2466,15.41,11.7
0,2467,15.41,11.7
0,2468,15.41,11.7
0,2469,15.41,11.7
0,2470,15.41,11.7
0,2471,15.41,11.7
0,2472,15.41,11.7
0,2473,15.41,11.7
0,2474,15.41,11.7
0,2475,15.41,11.7
0,2476,15.41,11.7
0,2477,15.41,11.7
0,2478,15.41,11.7
0,2479,15.41,11.7
0,2480,15.41,11.7
0,2481,15.41,11.7
0,2482,15.41,11.7
0,2483,15.41,11.7
0,2484,15.41,11.7
0,2485,15.41,11.7
0,2486,15.41,11.7
0,2487,15.41,11.7
0,2488,15.41,11.7
0,2489,15.4,11.7
0,2490,15.41,11.7
0,2491,15.41,11.7
0,2492,15.41,11.7
0,2493,15.41,11.7
0,2494,15.41,11.7
0,2495,15.41,11.7
0,2496,15.41,11.7
0,2497,15.41,11.7
0,2498,15.4,11.7
0,2499,15.4,11.7
0,2500,15.4,11.7
0,2500,15.41,11.7
0,2501,15.4,11.7
0,2502,15.4,11.7
0,2503,15.4,11.7
0,2504,15.4,11.7
0,2505,15.4,11.7
0,2506,15.4,11.7
0,2507,15.4,11.7
0,2508,15.4,11.7
0,2509,15.4,11.7
0,2510,15.4,11.7
0,2511,15.4,11.7
0,2512,15.4,11.7
0,2513,15.4,11.7
0,2514,15.4,11.7
0,2515,15.4,11.7
0,2516,15.4,11.7
0,2517,15.4,11.7
